24,16
-7,136
-20,269
-50,243.5
-28,71
-36,-97.5
-36,-63
-22,-311.5
27,-305
11.5,-213
57,-92
-5,41.5
-30,-116
15,102.5
16,175
-9,-56
17,44
39,-156.5
-15,-67
-7,128.5
37,229
20.5,-174
95,-81
88.5,-81.5
91,-89
100,15
121,-82
201,-51
214,90
191,89.5
192,106
231.5,-82
298,-180
417,207
483,202
410,55.5
388,53
397.5,73.5
479,-20
486,-28.5
398,111
419,286
375,367
443,265.5
527,314
463.5,294.5
453,300
559,119
518,191
608,75
647,129
671,35.5
645,49
693.5,243.5
781,256
758,63
748,67
711.5,127
655,292
747.5,170.5
663,232
632.5,367
673,100
648,172.5
700,67
674,-103.5
705,145
730,185.5
754,153
685.5,74.5
623,127
817.5,-59
835,112
855,134.5
718,151
551,-165
494,87
556,207
606,116
459,134
306,224
327,201
360,52
411.5,16
283,-184
198,-19
177,25
236,-3
269,-168
220.5,-143
44,116
51,44
64,-135
56.5,-99
59,-58
0.5,31
-21,145
-52,96
-65,-133
9.5,209.5
-24,110
-69,94.5
-26,73
-9,28.5
-15,-179
-56,-98
-84,-50
-15.5,78
29,-57
-41.5,-126.5
-33,-170
-47.5,-204
-44,-143
-31,5.5
-71,12
-85,-132
-86,-153
-21,-117
-72,-172
-73.5,-137.5
-25,-236
-84.5,-149.5
-15,-98
-45.5,-239.5
-84,-129
-70,-112.5
-76,-180
-83,-31.5
-90,-2
-72,-57.5
-40,-47
-71.5,-182.5
-42,-223
-55,-303.5
-47,-146
-21.5,-15.5
-92,-162
-57.5,-147.5
-83,-238
-142,-231
-111,-79
-87.5,-142
-94,-148
-118,-275
-104,-304
-108,-159.5
-85,-64
-92.5,-118.5
-108,-23
-96,-35
-116,-128
-79.5,9
-81,-131
-32,-37.5
-73,-24
-44.5,-114.5
-55,-26
-101,149
-113,-72
-115.5,-147.5
-54,-180
-55,-207.5
-94,-144
-85.5,-129.5
-125,-174
-84,-227.5
-34,-120
-62.5,-32
-122,-28
-46,18
-18,-89
-87.5,-44
-77,58
7,275.5
-81,-4
-49,91.5
-25,135
-137.5,123
-113,56
-83,-42.5
-100,-79
-90,-95
-26,-47
-88,-139
-88,-36
-94.5,173
-82,46
-77.5,4
-118,136
-27.5,170
-8,263
-57.5,249.5
-74,123
-105.5,215.5
-90,80
-139,70.5
-116,-36
-52,-48
-56,51
-55,189
-110,296
-82,194
-89,220
-28,70
-100,33
-81.5,101
-83,-21
-86.5,-38.5
-75,3
-109,72.5
-84,-224
-96,33
-109,-213
-95,-182
-108,-41
-85.5,-101
-79,-152
-105,-293
-110,-186
-84,-75
-116,-65
-113,-175.5
-57,-153
-114.5,-97.5
-91,-49
-105.5,104.5
-89,47
-57.5,64.5
-78,-42
-147,-7.5
-112,70
-73,47.5
-102,150
-135,35.5
-120,-125
-85,76.5
-114,47
-106,260.5
-109,34
-123.5,40.5
-89,-78
-111.5,-57
-79,345
-80.5,260.5
-107,338
-85,363.5
-44,303
-64,141
-12,100
-90.5,570.5
-102,611
-113,409.5
-133,155
-72,40
-37,141
-73.5,71
-29,57
-82.5,33.5
-68,45
-124.5,-10.5
-95,-94
-89,-74.5
-53,106
-111,51.5
-110,51
-96.5,17.5
-36,55
-58,148.5
-115,-122
-78,-171.5
-53,-124
-78.5,-249.5
-104,-111
-51.5,-149.5
-99,-269
-16.5,-262.5
-43,-103
-76,-210.5
1,-186
-67,-47.5
-34,-22
-47,-137.5
-53,-70
14,103
55,25
166,-123
119,-18
129.5,57.5
178,-206
177.5,-72.5
98,-245
91.5,-135.5
98,-205
113,-69.5
169,-128
73,-154.5
94,-155
87,-51.5
62,-10
60.5,-74
0,-97
-40,119
-22,84
-2,-176
-3,-157
-19,-125
-26,-186
-53.5,-212
-52,-118
-68,-114
-74,-186
-10,-182
-116,-193
-56.5,-2
-56,-124
-76,-113
-62,107
-37,164
-70,-54
-80,-193.5
-99,111
-16.5,-30.5
-65,-54
-75,-122.5
-30,-27
-74,-12
-74,116
-26.5,-112
-24,-149
-15,-210
-54,-126
-72,102
-104,-88
-55.5,-146.5
-79,-181
-38.5,-274.5
-128,-167
-75,-150
-118,-140
-73.5,-180
-58,-280
-68,-97
-48,25
-99,-21
-98,-171
-58,-120
-78,201
-45,110.5
-54,-16
-18.5,-93
-17,190
-23,79
-54,-2
-39.5,-106
-84,-209
-74.5,-139
-14,-15
-23,-130
-67,-233
-59,-176
-98,-255
-19,-309
-30,-20
-73,-39
-69,-125
-68.5,-225
-23,-134
-60.5,21
-23,-104
3,-123
-18,-14
-52.5,13
25,-185
123,32
176,-82
139,63
229,65
354,212
560,157
526.5,-58
329,-23
244,-144
441,8
390.5,-29
569,-42
489.5,-22
415,-127
418,-152
443,48
669,-87
619,75
658.5,-24
776,101
1006,-5
833,100
884,-9
760,153
729.5,60.5
701,185
759,289.5
905,141
1017,140.5
1004,318
880.5,121.5
817,235
880.5,450
885,371
901,242
960,131
1464,231
2003,206
1951,287
1814,254
2448,172
3270,432
3857,371
3696,324
3802,227
3902,282
4014.5,292
3780,222
3704,211
3731,153
3755.5,43
3606,21
3384.5,122
3169,177
3434,61
3173,141
2742,-41.5
1943,-19
1590,184.5
1750,211
1619,115.5
1175,-76
555,-59
331,-14
395,-52
465,68
391,-6
289,-65
123,-41.5
185,336
246,61
191,-15
28,-56
14,-69
12,94
38,114
28,22.5
26,87
7,90.5
12,43
-12,-18.5
2,9
-35,-1
-36,13
-13.5,158
-25,78
-12,-91.5
-20,143
-17.5,24.5
-22,-125
-27,-154
-7,-134
-32,23
-31,70
17,-72
-32,-160
-22,-210.5
-53,-268
-13,-262
-14,-77
-31,-83.5
-71,-132
-21,-48
-88,-69
-60.5,-77
-15,128
-24,245
-18,106
-68.5,-65.5
-48,150
-39.5,4.5
6,-40
-43.5,-94
-40,-256
-8,-22
23,70
-39,118
-52,-54
43,61.5
16,-147
-2,-24
5,-128
-39,61.5
11,27
40,-37.5
7,-74
23.5,87.5
