549,111
550,164.5
524,116
504,-158
556,-56
578,-10
607,-225
586,-152
622,-137
741,-23
645,155
566,135
642,35
671.5,82
574,130
567.5,114
440,1
549.5,0
532,62
489.5,-35.5
504,-125
451,-122.5
372,-22
429.5,71
279,53
394,-80
365,10
444,35.5
414,-33
365,91.5
400,-3
333,35
265,19
353,-100.5
365,-140
420,-34
348,-188
323,-234
392,-125
358.5,96.5
397,-174
304,-85.5
278,9
301.5,177.5
329,92
311,80.5
305,-84
268,-148
272,-112
274,-47
262,10
327,-151.5
386,-130
302,-205
389,-37
408,-1.5
375,-61
427,-135.5
492,-60
327,-39.5
295,-76
364,-41.5
399,-142
396,-294
317,-70
322,-129.5
378,-111
301,-155
340,-225
247.5,-117
244,-170
198,-127
157,-154
194,-92
253,-162
331,-116.5
280,-29
266,-266.5
113,-289
108.5,-31.5
147,-161
202,-212.5
206,-36
86,-135.5
100,116
151,-41
106,93
53,36
-12,36
-93,-41.5
-13,-191
6.5,-109.5
82,-98
38,45
-12,-135
40.5,40
33,-82
31,273.5
42,87
24,17.5
20,1
89.5,64.5
57,-105
22.5,-42
-68,145
-12,-77.5
-37,-31
2,192.5
-7,132
-35,19.5
-61,304
-24,34.5
-28,-131
-43.5,-236
-105,574
-68,960
-12,163
-22.5,56.5
6,-4
9,1153.5
-5,1561
-8,1611.5
-5,1400
-49,1055
-56,325
-19,356
-53,112
-24.5,1093
-16,1957
-21,1778
-6,1572
-45,1533.5
-45,-156
-3.5,267
-34,639
24,900.5
-57,1056
-55,636.5
-59,842
-1,628
-15,-212
-74,-277.5
-73,-274
-2,-267.5
-93,-176
-113,-165.5
-22,-126
-24.5,73
-82,-200
-76,-156
-100,-74
-47,-165
-72,-32
19.5,-118.5
-102,-25
-51,41
-39,-75
39,13
4,-14
-31.5,-53
-37,136
2,290.5
-28,228
-29.5,136
-72,93
0.5,-91.5
-7,4
-38,-47.5
-20,73
8,-64
9,-119
-60,-182
-24,10
-43,-59.5
-51,90
-42.5,-3
-58,84
-31,134
-107,90
-65.5,-193
-107,-237
-83,-198
-66,-14
-54,-73.5
-116,-28
-71,-148
3,-70
-83,-67.5
-64,136
-83,-46.5
-47,-135
-37.5,-180
4,-37
-41,-40.5
-65,58
-88,51
-61,129
-73.5,101.5
-63,134
-69,-105
-78,-99
-64,-133
-65,-70
-97,-106
-57,-162
-94,-201
-101,-36
-57.5,-58
-111,-286
-128,-164.5
-49,-253
-56,-165
-50,59
-42,99.5
-32,9
-97,-7
-80,-126
-48.5,-88
-63,-12
-22.5,-62
-34,16
-33,-68
-76,-16
-59,-115.5
-49,-338
-13,-245
-31,-216
-33,-153
-51,-165
-55,-152
-62,3
-26.5,-1.5
-48,-143
-89,-365.5
-59,-121
-13,-107.5
6,-57
19.5,52.5
4,-128
-70,-204.5
-34,-70
-65,-173.5
45,-137
4,-186.5
-98,-98
-63.5,-143.5
-29,-29
-86.5,-64.5
-97,-212
-80.5,-120.5
-13,-105
-44.5,-105.5
-85,-155
-95.5,-216
-31,-150
-57,-177.5
-50,-305
-39,-352
-40,-295
-25,-110
-61,-149
-98,-108
-85,-125
-31.5,20.5
-62,-139
-66.5,93
-42,-11
10,-51.5
-128,-91
-102.5,-82
-99,-85
-101,-140
-87,-24
-63,-44
-89,60
-39,-2.5
-41,-150
-43.5,-185
-61,-119
-85.5,-79
-82,-179
-71.5,-253
-34,-210
-28,-244
-59,-313
-92,-192
-16,103
-41,-107
-52,-148
-76,-108.5
-97,-167
-67,-198
41,22
-33,-53
-43,-69
-82,-52
-91,-60
-49,-129
3,-236
-49.5,-167
-74,-229
-84.5,-52.5
-22,-56
-40.5,-94.5
-63,-87
32,58.5
-25,-92
-101.5,-87.5
-49,-105
8,-69.5
-76,-40
-33,46
-27,-143
-55,-32
-58,-50
-148.5,-138
-109,-143
-124.5,-133
-12,51
-7,28
-60,-111
-58,-156
-47,119
-73,-51.5
-55,-141
-79,-151
-29,-173
-40,-119
-23,33
1,92
-12,141
