105,-6
102.5,47
126,143
52,99
117,58
131,124
144,8
123,-11.5
124,-40
77,5.5
108,-94
118,46
91,50
85,36
155,145
129,-0.5
94,65
61,0.5
113,-35
75,112
107,66
130.5,86
160,180
138,64
129,128
131,34.5
126,107
151,280.5
129,125
142.5,116.5
131,-19
107,-95.5
137,28
98,14.5
122,27
72,250.5
112,-2
118,53.5
79,96
77,-32.5
77,-104
64,-96
92,-94
67,-6
85,136
126.5,-33.5
50,-26
102,-143.5
67,-121
99,-125
68,-163
91,-191
99,-116
116,-170.5
53,-163
61.5,20
72,-132
60,-107
74,-76
63,-18.5
76,-74
100,-179.5
24,-87
48,-133.5
38,52
8,-26.5
32,-33
38.5,-27
45,-100
19,-15.5
26,-25
-2,-5
59,-83
42,38
64,69
40,53
81,58
57.5,-71.5
44,-19
53,56.5
79,-47
40.5,1.5
43,127
42,3.5
22,-8
-10,162
-23,114
20,90.5
22,-31
-16,-38.5
-12,-143
-3,-13.5
-12,87
14,-24.5
18,-189
11,-134
14,-110
12,-105
45,-136
-8,2
1,4
11,-63
-17,50
15,30.5
12,133
-2,47.5
9,-43
-19,-130
15,-117
9,55
16,145
34.5,35
41,-78
13,-126.5
40,19
3.5,-19
-34,-105
33,-195.5
5,-48
-9,-24.5
19,-81
-5,-55.5
-5,15
-32.5,-98
-33,-156
-41,-203
-21,-237
-8.5,-134.5
-23,19
-8,-116
-7,-152
25,-34
11,-29
-8,-55.5
22,-82
17,-66.5
18,-1
37,16.5
5,-60
37,-85
25,-73
21,-44
7,-31
25,-33.5
25,-121
-12,-98
-13,-174
6,9.5
11,29
-17.5,-44.5
-31,-135
-10,-2
-20,4
6.5,-15
-45,-42
-35,-106.5
1,-169
-10,-176
-4,-147
-22,-118
-14,-143
-17,-139
-32,-113
-12,-81
4,-71
-16,-62.5
16,-232
-14.5,-214
-45,-19
-8,-166
-58,-245
-28,-170
-24,-89
-2,-124.5
-49,-99
-42,-25
-2,-4
-23,-128
-20,-221
-24,-207.5
1,-154
-25.5,324
-29,647
14,312.5
-39,278
-57,106.5
-39,713
-38,80
-22,-166
-26.5,-219
-30,-144
27.5,-302.5
14,977
20,642
-16,122
-25,528.5
-11,180
-28,21
7,82
23,177
-21,55
34,-147.5
-8,-177
-29,-204.5
-5,-130
-45,-41.5
-3,-4
-50,-82
-6,-134
-9,-101
24,-32
50,-34
29,-108
26,-108
35,-182
2,-236
6,-68
21.5,26
22,-145
21.5,-55
44,-125
35,-136
23,40
28,-18
-13,-22
-6,-56
-7,-9
-4,-126
13,43
-21,-2
-21,-101
-50,-58
-37,-128
-14,-175
13,-183
-17,-18
-25,-67
-19,-39
3,-172
23,-171
-35,164
-39,294
-7,638
-31,693
23,247
-31,87
9,808
-23,725
-31,1740
-15,2717.5
-35,1381
-38,3078.5
31,1433
-50,1415.5
-18,1736
-9,768
1,1135
-15,972
-20,1762
-11,2265.5
-46,2187
-42,2019
-53,1371
-39,841.5
-7,408
-10,1377
-17,1757
-22,946
-12,926
-49,1255.5
-53,3164
-23,8697.5
31,6894
24,1251
38,556
1,970.5
-37,1039
-20.5,1003
-21,675
-19,620
-4,822
-17,812.5
-15,584
-29,559
-21,712
-4,572.5
-6,613
-15,404
-15,472
-12,502.5
-18,301
0,403
30,189
10.5,148
-9,87
-21,166.5
-5,182
-1,158
38,123
29,14
14,11
31,25
25,4
17,37
9,-13
43,-66
35,-85
26,-59.5
31,-33
-2,-158.5
5,-4
-4,14
-4,110
-3.5,40
2,64
-5,73
21,94
60,-4
15,191
5,143.5
-28,1443
-4,4824
-23,4997
-5,3921
11,3454
-6,2075
-10,481
17,176.5
13,140
8.5,2.5
33,4
1,-104
-30,-25
62,-16
58,-17
43,153.5
55,185
-12.5,20
8,-68
-4,-112
18,-60
12,13
-13,-13
45,474
-3,452
-3,8
85,187
101,884.5
59,2173
37,3236
74,2654
211.5,3005
248,3386
429.5,2043
360,785
111,559
24,620
46,161.5
23,61
78,104
24,140
20.5,115
32,-55
-5.5,-63
18,20
51,5
-30,70
-19,-113
-39,-72
-68,-12
-22,-35
-31,-41
-37,-136
-20,-49
-18,-67
-48,-211
-34,-107
-27,86.5
17,-127
-2.5,-37
-32,-25
-69,5
3,-56
-4,-102.5
7,-153
27,-161.5
-21,-205
-12,-174
-9,-102
-17,-82
-49,-92
-43,-124
-18,-137
-14,-115.5
-22,-116
-37,-21
-16,27
-31,-135.5
-16,-102
16,-118
-19,-164
-22,-48.5
-34,-49
-8,-115
-21,-128
2,-140.5
-8,-182
-16,-48
-9,37
-37,-108.5
-17,-4
-19,12
-28,51
-2,-62
-38,-70
-70,70
-52,76
-16,55.5
-29,37
17,123
-15,176
-50,136
-29,195
-59,612
-33,481
-56,410
-22,602
-42,457
-65,300
-17,133
-35,98
-30,110.5
-39,141
-29,77
-41,35
-32,-30
-57,-48
3,-157
-42,-180
-36,-58
-15,-41
-65,-30
-40,-6
-55,-38.5
0,-40
-20.5,-110
-61,-57
-28,-23
-17,-68
-12,-93.5
-4,86
-8,168
-20,41
4,40.5
-16,25
-31,16
-7,167
4,-24
-3,-37
-10.5,-42.5
-45,-41
-21,89
-16,18
-20,6
-4,114
-43,161
-46,91
-41,192
-13,-23
9,-10
-8,-22
-9,21
-10,-119
-33.5,12.5
-34,-21
-57,-97
-29,80
31,-79
-4,-120
-9,-86
-33,-81
-18,-123.5
-41,-50
-49,-115
-17,136
-25,-95
4,-46
-33,-31.5
7,-103
-3,-118
-3,-35
-29.5,-217.5
-41,-83
12,74.5
-34,-10
-21,165.5
-40,26
-41,-41
-57,-74
-50,-6.5
-56,-3
-49,15
-33,51
-22,80
-21,64
-22,-17
-9,11
-31,27
-37,-78
-37,55
-38,-6
11,100
-8,54
6,-89
29,-30
12,-31
10,48
-6,-55
28,-33
6,-75
1,-59
15,-18
50,4
133,-132
135,-65
99,-134
96,-140
91,-79
139,43
196,-40
184,36
218,-5
274,13
414,-42
571,-107
418,-59
386,24
420,25
471,-49
421,17
527,212
502,222
571,-21
863,-3
1203,-139
1435,-166
1456,120
1661,-28
2016,169
2094,71
2071,18
1920,43
1607,57
1279,50
931,-45
924,-83
902,-115
903,-169
1005,-37
956,-28
1076,-9
1040,-107
1248,-28
1359,-86
1381,-78
1083,-78
1078,-36
1177,-102
1177,-61
998,-152
776,-104
705,-75
668,-79
672,-118
483,-134
404,-261
327,-180
385,-103
403,-169
393,-104
233,-97
192,40
176,1
163,-7
139,176
72,104
18,-66
-2,-188
22,-76
64,-94
-4,42
-4,41
-15,-79
31,-96
44,-113
30,-71
27,-40
5,-63
31,81
-35,80
-22,13
10,-81
-25,133
-67,237
-22,270
-59,262
-47,209
-51,249
-40,230
-47,214
-19,262
-31,324
-21,406
-21,306
-43,347
-41,172
-7,296
-22,526
-38,409
-37,288
9,241
4,228
15,269
40,225
121,231
66,270
60,97
114,128
110,173
86,180
85,25
101,-49
81,23
41,53
35,76
-31,168
22,178
19,108
-6,89
-9,118
36,142
-7,104
-17,175
-12,138
-13,52
5,95
-23,36
-28,106
-7,164
-15,5
-47,108
-27,46
-21,100
-54,99
-38,164
-33,223
-48,142
-16,18
-28,247
-62,166
-27,189
-24,232
-51,292
-62,333
-37,344
-53,249
-25,147
-21,160
-72,260
-29,118
-60,435
-64,578
-44,543
-14,459
-10,432
-13,331
-27,617
-13,503
-38,515
-8,579
-43,629
-41,587
-46,484
-42,423
-16,561
-54,462
21,309
-3,464
17,406
26,410
-10,373
22,353
-34,263
-32,389
-1,455
-19,479
-30,548
-48,523
-65,569
-34,509
-42,532
-28,429
30,402
-7,473
-18,352
12,324
18,445
-13,352
37,307
33,327
17,369
3,302
-10,417
7,281
36,-3
-8,244
24,173
6,89
-17,-2
15,43
6,-24
22,-20
-4,0
1,81
-8,-37
32,56
2,-38
-7,-94
-13,-67
7,-26
-6,118
-35,89
19,-17
-26,-73
-3,25
-47,-78
27,-140
-35,-67
1,-56
-34,-62
9,-163
-47,32
-1,10
13,-127
-24,-209
-7,-131
0,-136
-30,-186
-41,-139
7,-128
-34,-99
-17,-127
-33,-210
-2,-97
-6,-39
29,-131
-25,-110
-24,-22
-23,-91
-18,-97
15,-83
17,-75
13,-59
-5,-35
-27,-83
-32,-79
-18,-127
-32,-78
-44,-132
-2,-143
-17,-164
-1,-149
29,-21
6,-157
-23,-141
-59,-69
-51,-126
-30,-51
-49,-50
-18,55
-29,98
-30,79
