24,103
22.5,28.5
28,-91
35.5,-124
55,99
-26,510
-20,1026
73,799.5
4,849
-16,775.5
10,1070
-2,722.5
-11,392
-56.5,134
16,59
22.5,-127.5
24,-128
7.5,-132.5
78,-104
19.5,71
4,18
30.5,93.5
93,-60
44.5,-40.5
17,-138
48,-49.5
-9,-15
-23,-124.5
-82,-175
-38,-91.5
-71,-214
-33,-29.5
-16,-139
-6.5,-136
-44,-78
-10.5,-85.5
14,-223
-33,-95
-85,-141
-90,-190
-11,-198
-88.5,-153.5
-94,65
-90,-163.5
-70,-229
16,-333
-27,-213
-44,-171
-33,-115
-87,-139.5
-50,-136
-36.5,-195
-91,-27
-64.5,-132.5
-14,45
-45,-94
-39,-78
10.5,-192.5
-1,-72
-62.5,-17
6,-289
-4,-152
-3,-113
-2,-38
-36,-129
-73,-195.5
-20,-91
-3,-70.5
-31,-156
-16,-292.5
-10,-153
1,-263.5
-60,-220
31,-226.5
-13,-193
10.5,-291.5
-55,-165
-65.5,-193.5
21,-164
-24,-208.5
-25,-209
-26,-133
-63,-106
8,-187.5
-7,-129
-65,-225
28,-72
-2.5,-87
-34,-4
-28.5,-117
-61,-130
13,-11.5
-36,-50
11,28.5
51,-45
127,154
129,14
150.5,-108
111,-89
199,75
192,-16
137,-90.5
171,-87
190,-160.5
235,-120
143,-307
126,-184
86,-44
17,123
21.5,10.5
-7,-256
12,55
-75,21
3,35.5
-39,101
-47,-60.5
-4,-41
-47.5,-82.5
-28,-114
5,25.5
39,71
0,35.5
-60,-66
37,-69.5
24,-11
18.5,94
-7,-99
-72.5,-96.5
6,-207
6.5,-62
-51,-144
20.5,-144
22,-165
107,-44.5
59,-40
91,80
114,32
192,1.5
229,42
291,-45.5
238,-37
284,19.5
402,158
561,168.5
565,248
615,248
595,106
690.5,225.5
727,212
994,278
1045,317
1118,451
1390,436
1613,384
2033,371
1966.5,541
2157,549
2136.5,578.5
2685,571
2968,524
3070,425
2812,492.5
2425,549
2281,433.5
2271,346
2166,357.5
1906,352
1827,191
2025,274
2310,380
2180,297
2294,432
2459,556
2539,502.5
2787,717
2829,809.5
2869,764
2789,691.5
3044,1067
3980,944
4781,1112
4688.5,1133
4080,985
3821.5,896
4214,935
4786.5,921.5
4687,1048
3998,1092.5
3444,1134
3875,1232.5
4187,1397
4642,1358.5
4825,1238
4852,1161
5062,1376
5179.5,1653.5
5168,1501
5167.5,1446.5
5063,1348
5141,1080
4758,1366
4894.5,1490
4446,1520
4421.5,1538
4493,1647
4512.5,1666.5
4527,1568
4359.5,1336.5
3967,1159
3763,1092
3876,1041
3724.5,1001.5
3722,1018
3709.5,1104
3641,1396
3598,1374
3032,1001
2400,888
2340,840
2461,1006.5
1932,755
1192,284
736,205
845.5,182
1000,214
798,219.5
492,191
292.5,60.5
265,100
432.5,216
353,188
207,170
162,-63
70,-180.5
20,-155
39,-172.5
-10,-98
-16,-19
23,-82
-14,-132
-22,-153
-3,44.5
7,7
-26,111.5
54,-25
-31,-19
-2,-60
12,-62.5
-20,-22
-12,-156.5
-21,-59
33,-61.5
68,-60
-42,117.5
-14,24
11,-146
-22,-38
-24,-78.5
103,-122
137.5,-45
47,77
54.5,28
27,-81
149,57.5
171,-1
240.5,-99
236,-68
445.5,-56.5
641,78
754,-1
738,2
670,-95
730,-153
783,-54
828,56
765.5,55
673,2
616,-37
679,-38
641.5,15.5
635,-25
560,52
628,24
650,490.5
727,893
737,849
928,1100
898,680
1128,1172
1309.5,999.5
1503,629
1594.5,345
1582,213
1479,107
1371,33
1396,69.5
1297,76
1227,-16.5
1100,-46
1059,201.5
912,294
849,23.5
749,-35
813,-12.5
821,-59
699,174
789,195
751,59
721,101
804.5,155
453,295
366.5,124.5
338,57
286,124
151,194
91.5,38
7,-138
19,-51
132,-20
90,-70
38,-22
38,-73
-23,189
97,253
106,199
13.5,288
27,171
-32,181
-32,272
-23.5,79
-7,32
-75,52.5
-51,276
-77.5,158.5
-34,192
-4,442
-54,206
-79,17
-45,-105
-7,220
-40,77
-24,70
-43,193
-45.5,313
1,366
-30,506.5
-8,393
-43,327
-42,384
-100.5,138
-39,30
-56,161
-56,305
-77.5,433.5
-70,112
-77,58
-98,243
-85.5,368
-46,871
-11,1116
-22,898
-54,572
-52,196
36,223
-29,1353
-52,1122.5
-8,553
19,981
-6,1004
-62.5,923.5
-65,751
-77,797
21,535
-65,223
-36,398
-21,33.5
23,-64
-20,81.5
0,486
65.5,791
-42,581
-22,260
-6,138
17,223
25,8
-49,102
-21,34
-2,159
-23,165
-15.5,103
-11,147
37,21.5
