697,207
714,2.5
617,-5
600,136.5
626,260
630,247.5
607,95
491,263
538,32
538,-68.5
626,62
624,-7
695,122
684,147.5
729,234
739.5,243.5
711,12
698,383
600,136
608,222
653,45
683,-181
531,-68
590,88.5
530,-159
584,-110.5
644,89
482,-48
417,-92
388,-181
402,-84
394,-210
367,-17
406,-181.5
378,-199
432.5,-87
351,-102
311.5,-146
279,-101
247,-99.5
333,-18
282.5,-275.5
235,-208
200.5,-104
181,15
215,-78
233,-63
191,18
167,247
131,66.5
160,100
245,-155.5
155,13
107,-66.5
112,-75
107,52
77,-21
91,-120
26,-124
19,109
60,-12
67,41
40,68
11.5,-20.5
31,-18
10.5,49
33,70
-9,87.5
-29,27
14,-284.5
-26,-300
-4,-162.5
-11,-200
18,-159.5
79,31
-11,55.5
36,14
-10.5,-148.5
-46,1
3,86.5
-28,-135
-34,-76
4,-70
36,-80
-3,-178
-4.5,-51.5
-28,-123
-35.5,22
-32,35
-23,-31
1,-70
-41,-120.5
-36,-38
-37,75.5
-50,-296
-46,-210
-11,-335
-21,-344.5
-17,-258
-13,-155.5
-15,81
10,-55.5
-30,-149
-44,-236.5
-65,-263
-46,-101.5
-58,-271
-17,-98
-16,-45
-10,76
-9,185
11,340
-20,111
34,201
-35,241
-67,67
-49,-48
-9.5,271.5
-34,278
-23,213.5
-18,203
-58,-38
-13,-45
-59,-1
-31,-11
-33,-259
-68,-103
-58,-70
-7,48
-36.5,-63.5
-31,-36
-60,87.5
-52,-21
-43,246
-42,298
-57,169.5
-41,-61
-25,-133.5
-20,-81
-30.5,27.5
-25,25
-68.5,-22.5
7,194
31.5,-170.5
39,18
-23,46.5
-23,144
16,135.5
45,-34
33,59
67,10
-10,-21.5
-21,111
18.5,188.5
-1,66
24,74
4,178
-19,-55
-44,-180
-24,-15
-56,-13
-69,49
0,18
-15,-137.5
9,52
-11,-24
-12,33
-47,-95
-46,-235
-8,-261.5
-54,-248
-11,-35.5
7,-163
43,-44
10,80
59,-112.5
34,3
17,278
4,-42
29,-192
2,-187
-23,-27.5
60,82
-12,45.5
69,97
-16,264
50,-86
14,-84
48,222
44,56.5
32,-105
73,-52.5
69,-64
17,-93.5
101,59
227,-102.5
427,-14
327,54.5
284,-146
377,-188.5
576,-300
519,72.5
449,2
390,-56.5
318,-121
188,-47
161,-66
143,-60.5
192,-173
100.5,-336.5
90,160
90,0
48,-24
107.5,6
3,-22
100,53
60,-3
11,-28
63,-153
11,-60.5
25,-108
39,41
57,-118
79,13.5
26,-136
40,-128
17,-38
-13.5,-279.5
9,64
