-63,170
-86,41
-94,93
-110,-12.5
-61,13
-87.5,-62.5
-81,40
-73,-102
-3,164
-65.5,32.5
-83,62
-41,62.5
-61,188
-53.5,-118.5
-100,-177
-78,-4
-70,-6
-67.5,35.5
-93,197
-63,192.5
-43,147
-30.5,-13
-56,-80
-75,-142.5
-23,-118
-79,9.5
-55,-30
-12.5,-154
-60,-153
-20,52
-34,-53
-77,-133
-73,-55
-65,30.5
-50,72
-40,-38.5
-29,116
-34,-68.5
-66,-58
-82.5,-67.5
-59,-171
-78,-96.5
-79,-75
-53.5,-185.5
-41,2
-57.5,54.5
-42,-35
-41,-76.5
-57,-40
-63,141
-36,-78
-53.5,-21
-61,55
-34,99
-10,-89
-42.5,-86.5
-62,103
-27.5,-33
-47,-40
-19,-45
-69,-133
-39.5,-178
-32,-34
-61,83.5
-70,84
-71.5,-32
-85,-108
-99.5,-186
-46,-117
-38,149
-69,15
-86.5,119.5
-64,101
-77.5,-139.5
-76,-143
-37.5,-33.5
-60,-55
-80,-16.5
-101,81
-90.5,-15.5
-141,153
-95,72.5
-84,-33
-57.5,73.5
-100,-58
-67.5,-90
-113,-17
-139.5,-140
-137,-28
-107,-96
-142,86
-108,-6
-112,-34
-78.5,-70
-73,77
-109,274.5
-63,347
-139,-136.5
-105,-22
-69,-109.5
-99,-168
-86,12.5
-62,131
-126.5,30.5
-109,37
-97.5,-3.5
-108,21
-61.5,7
-47,-1
21,-189
-21,-110
-31,-273
-41,-303
110,-280
352,-45
351.5,-32
148,-199
62.5,-156.5
197,-290
302,17
383,145
415.5,-12.5
269,-60
340,-12.5
515,193
628.5,-53
417,-76
315.5,-114.5
452,113
564,13.5
1005,190
1216.5,93
1174,14
1360,45.5
1574,147
2145.5,284.5
2205,64
1914,282
2299,376
2296.5,152
2806,-30
2744,62.5
2414,74
2135,114
1937,272
2363,178
2539,258
2599.5,-27
2738,-4
3263.5,101
3512,-129
3485.5,251.5
3562,106
3584,-23.5
3543,323
3337.5,112
3211,171
2941,257.5
3078,125
2864.5,104.5
2471,63
2068,65
1594,157
1487,169
1404,240
1240,117
1091,19
1050.5,-55
1009,-207
1081,-41
1309,-4
1293,7
1122,11
1158.5,67
1227,131
1227,238.5
1218,34
1296.5,244
1464,355
1696.5,161
1547,168
1134.5,135.5
840,363
711,106
450,167
409,11
296,38
183.5,-140
191,-22
189.5,-166.5
272,-49
182,-227.5
181,-173
91.5,-136
114,-71
146,-50.5
136,-215
27.5,-124
-20,-177
19,-232
-16,33
-61.5,-205
-65,-51
-118.5,225
-168,170
-151.5,97
-107,267
-149.5,149
-113,6
-165.5,231
-128,251
-181,166
-170,198
-170.5,-107
-185,39
-185,74
-131,-74
-137,96
-199,-111
-183.5,-91.5
-146,-212
-140.5,53
-168,35
-168,160
-179,21
-180,24
-152,48
-116,216.5
-166,117
-120.5,-31
-137,-154
-103.5,-87
-120,-143
-138.5,64
-124,-134
-83,-52
-123,14
-104,87
-124,37
-115.5,-140.5
-107,-207
-110.5,-67
-71,-31
-118,105
-116,-122
-96,-254.5
-144,-111
-117,-57.5
-122,-18
-103.5,-228
-130,-254
-108,-90.5
-148,-219
-132,-140.5
-100,-153
-106,-110.5
-107,-294
-58.5,-134.5
-133,-259
-150.5,-89
-103,-75
-123,0
-145,-216
-80.5,-312
-104,-191
-125.5,-114
-105,-168
-89,-303
-77,-292
-90,-193
-67,-247
-65.5,-71
-74,-206
-123,-197.5
-57,-114
-78.5,-63
-74,-77
-96,-42
-83,150
-65,-30
-67,-51
-41.5,89
-89,-131
-46.5,65
-91,-36
-35.5,94.5
-55,112
-67,305.5
-62,257
-59.5,164
-89,5
-68,-83.5
-76,-126
-50.5,-51.5
-54,65
-31,-104.5
-55,87
-43.5,-161.5
-75,-90
-76,42
-46,88
1.5,165
-55,220
-63.5,183
-37,100
-97,256
-61,-5
-13.5,7
-10,-42
-14,185
-41,101
-3,-39.5
3,1
-18.5,82.5
17,-53
-0.5,-130.5
-27,-113
-19,-118.5
-54,-121
3.5,-14
13,183
-4,145
-66,237
-35,89.5
-17,-12
-21,15
-57,9
-36.5,30.5
-30,-185
-39.5,-204
-56,-43
-73,-172
-19,-53
-38,112.5
-51,78
-62.5,-10
-54,92
-25.5,-36
-45,-131
-58,50.5
-37,84
-19,25
-58,-97
-81,-197.5
-35,-97
-40,-183
-53,-123
-77.5,33.5
-27,139
-31.5,-103.5
-23,-74
-16.5,7
-15,4
-36.5,62.5
-70,-65
-60.5,60
-26,-81
-31,30
-32,40
12.5,-96
19,-3
-8,-99
-70,-74
-68,-106
-36,-63
-41,-60
-21,78
-13,86
-28,53
14,84
14,280
-23.5,32
-18,-112
-46,1
-40,-47
-37,98.5
-16,195
-33,-164
-10,-110
16.5,100.5
-24,40
10.5,-134
-4,-55
33,-142
6,-234
70,-130
98,-82
147.5,-128
75,-86
51,-209
126,-142
285,108.5
344,73
337,140
365,216
366,-131
576,-132
686.5,-45
552,19
534,-55
579,95
822.5,42.5
740,-4
765,42.5
734,-44
816,-110
973,-2
1138.5,13.5
1075,224
1102,-23
1165,-6
1196,92
1428,278
1371,292
1478,157
1364,-42
1370,268
1366.5,135.5
1202,-75
1031,100
1035,56
890,68
809,-52
808,-22
826,-142
748,-37
733,42
659,57
557,16
572,-176
589,-145
548,-109.5
483,-206
512,-54.5
460,-88
433,-61
589,-114
491,-1.5
417,117
325,-173
262,40
388,170.5
260,287
243,213
195,300
205,363.5
209,383
210,253
186,313
143,174.5
167,158
188,160
137,307
133,278
142,-68
102,110
137,-116
116,-67
97,-11
89,-190
152,-90
168,-72
86,54
106,127.5
189,125
195.5,50.5
164,-34
146,27.5
183,75
217.5,-34
279,-85
241.5,-86.5
221,-73
209,-52.5
294,40
318,52
399,222
368.5,183
344,97
305.5,-40
443,77
468.5,165
485,56
491,270
546,226
570.5,-42
605,-17
609,187
606,100
653,76.5
829,-98
865,-166.5
836,37
804,82.5
727,65
883,96.5
684,166
587,18.5
589,192
507,40
515,-131
548,58
581,68
635,91
655,112
750,-99
893,124
1053,175
1071,90
1209,12
1339,53
1426,-36
1549,46
1556,-43
1497,215
1445,156
1449,159
1334,136
1299,72
1330,-180
1339,-247
1456,-57
1408,5
1555,61
1545,-2
1685,39
1686,228
1846,395
2110,192
2010,14
2159,-43
2120,-47
2124,-23
1992,-49
2033,-16
2007,63
1976,204
2053,-83
2245,-117
2153,-143
2237,9
2184,51
2247,148
2318,-141
1988,-14
1970,2
1848,96
1897,-136
1781,99
1777,173
1737,383
1685,166
1873,6
1903,249
1932,192
1860,3
1856,15
2029,84
2089,54
2105,-27
2188,79
2196,-245
2268,-142
2445,-101
2477,-89
2433,-92
2426,-168
2486,-198
2558,-63
2378,-187
2198,-219
2124,-216
2150,-216
2093,49
2104,81
2139,-82
2069,-4
1980,-162
1874,-158
1989,-43
1888,16
2040,-2
2136,-15
2260,51
2370,13
2502,19
2332,-97
2288,3
2552,-110
2565,42
2623,96
2701,1
2470,-77
2345,-15
2573,-27
2471,-52
2434,-34
2378,-119
2439,-216
2598,3
2739,-7
2776,7
2702,32
2828,-25
2887,62
2763,148
2674,119
2657,71
2782,98
2534,-71
2261,121
2048,128
2075,27
1930,106
2011,-4
2028,177
